date,pessimistic,isPartial
2011-01-02,72,False
2011-01-09,63,False
2011-01-16,79,False
2011-01-23,54,False
2011-01-30,64,False
2011-02-06,68,False
2011-02-13,74,False
2011-02-20,100,False
2011-02-27,79,False
2011-03-06,66,False
2011-03-13,57,False
2011-03-20,64,False
2011-03-27,59,False
2011-04-03,64,False
2011-04-10,100,False
2011-04-17,77,False
2011-04-24,64,False
2011-05-01,72,False
2011-05-08,64,False
2011-05-15,65,False
2011-05-22,85,False
2011-05-29,59,False
2011-06-05,65,False
2011-06-12,88,False
2011-06-19,85,False
2011-06-26,58,False
2011-07-03,68,False
2011-07-10,73,False
2011-07-17,65,False
2011-07-24,60,False
2011-07-31,59,False
2011-08-07,76,False
2011-08-14,65,False
2011-08-21,79,False
2011-08-28,81,False
2011-09-04,94,False
2011-09-11,87,False
2011-09-18,68,False
2011-09-25,94,False
2011-10-02,90,False
2011-10-09,78,False
2011-10-16,99,False
2011-10-23,88,False
2011-10-30,89,False
2011-11-06,99,False
2011-11-13,73,False
2011-11-20,63,False
2011-11-27,97,False
2011-12-04,81,False
2011-12-11,80,False
2011-12-18,58,False
2011-12-25,63,False
