date,pessimistic,isPartial
2015-01-04,43,False
2015-01-11,55,False
2015-01-18,60,False
2015-01-25,54,False
2015-02-01,55,False
2015-02-08,61,False
2015-02-15,42,False
2015-02-22,53,False
2015-03-01,59,False
2015-03-08,48,False
2015-03-15,63,False
2015-03-22,68,False
2015-03-29,52,False
2015-04-05,57,False
2015-04-12,70,False
2015-04-19,62,False
2015-04-26,67,False
2015-05-03,71,False
2015-05-10,71,False
2015-05-17,67,False
2015-05-24,71,False
2015-05-31,65,False
2015-06-07,51,False
2015-06-14,62,False
2015-06-21,61,False
2015-06-28,57,False
2015-07-05,69,False
2015-07-12,57,False
2015-07-19,66,False
2015-07-26,68,False
2015-08-02,61,False
2015-08-09,57,False
2015-08-16,65,False
2015-08-23,66,False
2015-08-30,77,False
2015-09-06,74,False
2015-09-13,97,False
2015-09-20,100,False
2015-09-27,88,False
2015-10-04,85,False
2015-10-11,82,False
2015-10-18,93,False
2015-10-25,89,False
2015-11-01,88,False
2015-11-08,84,False
2015-11-15,98,False
2015-11-22,52,False
2015-11-29,90,False
2015-12-06,92,False
2015-12-13,78,False
2015-12-20,50,False
2015-12-27,53,False
