geoName,weepy
Alabama,23
Alaska,0
Arizona,50
Arkansas,38
California,59
Colorado,58
Connecticut,53
Delaware,0
District of Columbia,46
Florida,56
Georgia,27
Hawaii,41
Idaho,0
Illinois,49
Indiana,24
Iowa,66
Kansas,56
Kentucky,63
Louisiana,56
Maine,55
Maryland,38
Massachusetts,51
Michigan,43
Minnesota,64
Mississippi,0
Missouri,49
Montana,0
Nebraska,0
Nevada,47
New Hampshire,0
New Jersey,32
New Mexico,0
New York,30
North Carolina,48
North Dakota,0
Ohio,54
Oklahoma,28
Oregon,47
Pennsylvania,56
Rhode Island,0
South Carolina,45
South Dakota,0
Tennessee,29
Texas,43
Utah,49
Vermont,0
Virginia,26
Washington,100
West Virginia,60
Wisconsin,66
Wyoming,0
