geoName,weepy
Alabama,8
Alaska,0
Arizona,7
Arkansas,0
California,19
Colorado,39
Connecticut,29
Delaware,0
District of Columbia,5
Florida,11
Georgia,13
Hawaii,33
Idaho,0
Illinois,18
Indiana,11
Iowa,0
Kansas,30
Kentucky,22
Louisiana,12
Maine,100
Maryland,30
Massachusetts,23
Michigan,19
Minnesota,49
Mississippi,0
Missouri,16
Montana,0
Nebraska,0
Nevada,10
New Hampshire,0
New Jersey,20
New Mexico,0
New York,5
North Carolina,22
North Dakota,0
Ohio,25
Oklahoma,50
Oregon,28
Pennsylvania,25
Rhode Island,0
South Carolina,15
South Dakota,0
Tennessee,23
Texas,16
Utah,46
Vermont,0
Virginia,19
Washington,39
West Virginia,24
Wisconsin,9
Wyoming,0
