geoName,weepy
Alabama,15
Alaska,0
Arizona,28
Arkansas,57
California,17
Colorado,24
Connecticut,34
Delaware,0
District of Columbia,28
Florida,23
Georgia,31
Hawaii,13
Idaho,0
Illinois,20
Indiana,26
Iowa,29
Kansas,7
Kentucky,18
Louisiana,13
Maine,100
Maryland,29
Massachusetts,25
Michigan,20
Minnesota,26
Mississippi,0
Missouri,36
Montana,0
Nebraska,0
Nevada,39
New Hampshire,0
New Jersey,22
New Mexico,0
New York,23
North Carolina,30
North Dakota,0
Ohio,29
Oklahoma,40
Oregon,27
Pennsylvania,19
Rhode Island,0
South Carolina,18
South Dakota,0
Tennessee,25
Texas,23
Utah,18
Vermont,0
Virginia,16
Washington,52
West Virginia,42
Wisconsin,38
Wyoming,0
