geoName,weepy
Alabama,46
Alaska,0
Arizona,56
Arkansas,29
California,41
Colorado,50
Connecticut,36
Delaware,0
District of Columbia,31
Florida,33
Georgia,39
Hawaii,63
Idaho,0
Illinois,64
Indiana,49
Iowa,56
Kansas,62
Kentucky,54
Louisiana,49
Maine,78
Maryland,21
Massachusetts,53
Michigan,24
Minnesota,53
Mississippi,0
Missouri,65
Montana,0
Nebraska,0
Nevada,67
New Hampshire,0
New Jersey,32
New Mexico,0
New York,45
North Carolina,32
North Dakota,0
Ohio,32
Oklahoma,29
Oregon,54
Pennsylvania,30
Rhode Island,0
South Carolina,28
South Dakota,0
Tennessee,72
Texas,39
Utah,63
Vermont,0
Virginia,32
Washington,100
West Virginia,88
Wisconsin,87
Wyoming,0
