geoName,finality
Alabama,29
Alaska,0
Arizona,13
Arkansas,0
California,56
Colorado,33
Connecticut,38
Delaware,0
District of Columbia,54
Florida,41
Georgia,36
Hawaii,0
Idaho,0
Illinois,59
Indiana,39
Iowa,36
Kansas,0
Kentucky,45
Louisiana,0
Maine,0
Maryland,31
Massachusetts,52
Michigan,52
Minnesota,43
Mississippi,0
Missouri,68
Montana,0
Nebraska,100
Nevada,58
New Hampshire,0
New Jersey,37
New Mexico,0
New York,43
North Carolina,43
North Dakota,0
Ohio,32
Oklahoma,0
Oregon,0
Pennsylvania,50
Rhode Island,0
South Carolina,59
South Dakota,0
Tennessee,48
Texas,35
Utah,0
Vermont,0
Virginia,34
Washington,49
West Virginia,0
Wisconsin,40
Wyoming,0
