geoName,finality
Alabama,36
Alaska,0
Arizona,66
Arkansas,0
California,36
Colorado,68
Connecticut,42
Delaware,0
District of Columbia,92
Florida,36
Georgia,45
Hawaii,0
Idaho,0
Illinois,56
Indiana,35
Iowa,66
Kansas,0
Kentucky,64
Louisiana,0
Maine,0
Maryland,100
Massachusetts,57
Michigan,28
Minnesota,77
Mississippi,0
Missouri,42
Montana,0
Nebraska,33
Nevada,39
New Hampshire,0
New Jersey,32
New Mexico,0
New York,72
North Carolina,38
North Dakota,0
Ohio,49
Oklahoma,0
Oregon,0
Pennsylvania,70
Rhode Island,0
South Carolina,33
South Dakota,0
Tennessee,85
Texas,59
Utah,37
Vermont,0
Virginia,87
Washington,61
West Virginia,0
Wisconsin,61
Wyoming,0
