geoName,finality
Alabama,35
Alaska,0
Arizona,48
Arkansas,0
California,58
Colorado,33
Connecticut,81
Delaware,0
District of Columbia,70
Florida,56
Georgia,42
Hawaii,0
Idaho,0
Illinois,62
Indiana,68
Iowa,81
Kansas,0
Kentucky,33
Louisiana,0
Maine,0
Maryland,66
Massachusetts,31
Michigan,45
Minnesota,44
Mississippi,0
Missouri,100
Montana,0
Nebraska,58
Nevada,46
New Hampshire,0
New Jersey,78
New Mexico,0
New York,56
North Carolina,43
North Dakota,0
Ohio,81
Oklahoma,0
Oregon,0
Pennsylvania,33
Rhode Island,0
South Carolina,32
South Dakota,0
Tennessee,43
Texas,44
Utah,0
Vermont,0
Virginia,47
Washington,48
West Virginia,0
Wisconsin,42
Wyoming,0
