geoName,finality
Alabama,29
Alaska,0
Arizona,46
Arkansas,0
California,51
Colorado,18
Connecticut,19
Delaware,0
District of Columbia,42
Florida,29
Georgia,33
Hawaii,0
Idaho,0
Illinois,46
Indiana,33
Iowa,71
Kansas,0
Kentucky,11
Louisiana,0
Maine,0
Maryland,60
Massachusetts,36
Michigan,26
Minnesota,52
Mississippi,0
Missouri,71
Montana,0
Nebraska,57
Nevada,62
New Hampshire,0
New Jersey,34
New Mexico,0
New York,48
North Carolina,42
North Dakota,0
Ohio,45
Oklahoma,0
Oregon,0
Pennsylvania,57
Rhode Island,0
South Carolina,27
South Dakota,0
Tennessee,35
Texas,40
Utah,100
Vermont,0
Virginia,33
Washington,32
West Virginia,0
Wisconsin,42
Wyoming,0
