geoName,finality
Alabama,100
Alaska,0
Arizona,58
Arkansas,0
California,38
Colorado,50
Connecticut,46
Delaware,0
District of Columbia,84
Florida,52
Georgia,51
Hawaii,0
Idaho,0
Illinois,45
Indiana,46
Iowa,95
Kansas,0
Kentucky,26
Louisiana,0
Maine,0
Maryland,82
Massachusetts,45
Michigan,41
Minnesota,8
Mississippi,0
Missouri,26
Montana,0
Nebraska,47
Nevada,50
New Hampshire,0
New Jersey,56
New Mexico,0
New York,37
North Carolina,49
North Dakota,0
Ohio,41
Oklahoma,0
Oregon,0
Pennsylvania,38
Rhode Island,0
South Carolina,11
South Dakota,0
Tennessee,67
Texas,35
Utah,0
Vermont,0
Virginia,56
Washington,71
West Virginia,0
Wisconsin,43
Wyoming,0
