date,morbid,isPartial
2012-01-01,74,False
2012-01-08,75,False
2012-01-15,73,False
2012-01-22,59,False
2012-01-29,59,False
2012-02-05,68,False
2012-02-12,69,False
2012-02-19,67,False
2012-02-26,59,False
2012-03-04,63,False
2012-03-11,69,False
2012-03-18,64,False
2012-03-25,64,False
2012-04-01,74,False
2012-04-08,68,False
2012-04-15,70,False
2012-04-22,61,False
2012-04-29,74,False
2012-05-06,64,False
2012-05-13,62,False
2012-05-20,71,False
2012-05-27,72,False
2012-06-03,46,False
2012-06-10,64,False
2012-06-17,60,False
2012-06-24,64,False
2012-07-01,45,False
2012-07-08,69,False
2012-07-15,61,False
2012-07-22,63,False
2012-07-29,58,False
2012-08-05,55,False
2012-08-12,47,False
2012-08-19,75,False
2012-08-26,65,False
2012-09-02,56,False
2012-09-09,68,False
2012-09-16,76,False
2012-09-23,75,False
2012-09-30,80,False
2012-10-07,95,False
2012-10-14,100,False
2012-10-21,90,False
2012-10-28,75,False
2012-11-04,61,False
2012-11-11,74,False
2012-11-18,55,False
2012-11-25,66,False
2012-12-02,68,False
2012-12-09,63,False
2012-12-16,57,False
2012-12-23,57,False
2012-12-30,56,False
