date,morbid,isPartial
2016-01-03,82,False
2016-01-10,87,False
2016-01-17,96,False
2016-01-24,84,False
2016-01-31,85,False
2016-02-07,83,False
2016-02-14,76,False
2016-02-21,69,False
2016-02-28,80,False
2016-03-06,71,False
2016-03-13,88,False
2016-03-20,78,False
2016-03-27,80,False
2016-04-03,85,False
2016-04-10,91,False
2016-04-17,87,False
2016-04-24,76,False
2016-05-01,70,False
2016-05-08,75,False
2016-05-15,67,False
2016-05-22,83,False
2016-05-29,70,False
2016-06-05,75,False
2016-06-12,70,False
2016-06-19,67,False
2016-06-26,64,False
2016-07-03,71,False
2016-07-10,67,False
2016-07-17,75,False
2016-07-24,58,False
2016-07-31,71,False
2016-08-07,71,False
2016-08-14,54,False
2016-08-21,73,False
2016-08-28,76,False
2016-09-04,78,False
2016-09-11,78,False
2016-09-18,66,False
2016-09-25,81,False
2016-10-02,92,False
2016-10-09,73,False
2016-10-16,100,False
2016-10-23,98,False
2016-10-30,87,False
2016-11-06,73,False
2016-11-13,76,False
2016-11-20,72,False
2016-11-27,80,False
2016-12-04,74,False
2016-12-11,73,False
2016-12-18,71,False
2016-12-25,59,False
