date,morbid,isPartial
2014-01-05,80,False
2014-01-12,75,False
2014-01-19,60,False
2014-01-26,77,False
2014-02-02,82,False
2014-02-09,84,False
2014-02-16,71,False
2014-02-23,79,False
2014-03-02,75,False
2014-03-09,71,False
2014-03-16,71,False
2014-03-23,74,False
2014-03-30,61,False
2014-04-06,71,False
2014-04-13,71,False
2014-04-20,91,False
2014-04-27,79,False
2014-05-04,81,False
2014-05-11,73,False
2014-05-18,78,False
2014-05-25,77,False
2014-06-01,81,False
2014-06-08,67,False
2014-06-15,55,False
2014-06-22,75,False
2014-06-29,72,False
2014-07-06,85,False
2014-07-13,95,False
2014-07-20,74,False
2014-07-27,83,False
2014-08-03,83,False
2014-08-10,85,False
2014-08-17,80,False
2014-08-24,67,False
2014-08-31,71,False
2014-09-07,76,False
2014-09-14,81,False
2014-09-21,73,False
2014-09-28,87,False
2014-10-05,79,False
2014-10-12,86,False
2014-10-19,98,False
2014-10-26,100,False
2014-11-02,76,False
2014-11-09,84,False
2014-11-16,81,False
2014-11-23,71,False
2014-11-30,79,False
2014-12-07,71,False
2014-12-14,62,False
2014-12-21,63,False
2014-12-28,59,False
