date,morbid,isPartial
2011-01-02,56,False
2011-01-09,56,False
2011-01-16,56,False
2011-01-23,49,False
2011-01-30,55,False
2011-02-06,52,False
2011-02-13,50,False
2011-02-20,53,False
2011-02-27,51,False
2011-03-06,71,False
2011-03-13,50,False
2011-03-20,45,False
2011-03-27,52,False
2011-04-03,53,False
2011-04-10,61,False
2011-04-17,59,False
2011-04-24,51,False
2011-05-01,54,False
2011-05-08,53,False
2011-05-15,83,False
2011-05-22,71,False
2011-05-29,69,False
2011-06-05,100,False
2011-06-12,64,False
2011-06-19,58,False
2011-06-26,54,False
2011-07-03,53,False
2011-07-10,55,False
2011-07-17,51,False
2011-07-24,55,False
2011-07-31,53,False
2011-08-07,46,False
2011-08-14,55,False
2011-08-21,43,False
2011-08-28,55,False
2011-09-04,54,False
2011-09-11,61,False
2011-09-18,60,False
2011-09-25,58,False
2011-10-02,61,False
2011-10-09,53,False
2011-10-16,47,False
2011-10-23,52,False
2011-10-30,54,False
2011-11-06,44,False
2011-11-13,64,False
2011-11-20,53,False
2011-11-27,57,False
2011-12-04,47,False
2011-12-11,56,False
2011-12-18,65,False
2011-12-25,59,False
