date,morbid,isPartial
2015-01-04,67,False
2015-01-11,81,False
2015-01-18,62,False
2015-01-25,67,False
2015-02-01,79,False
2015-02-08,76,False
2015-02-15,70,False
2015-02-22,75,False
2015-03-01,70,False
2015-03-08,77,False
2015-03-15,72,False
2015-03-22,72,False
2015-03-29,74,False
2015-04-05,80,False
2015-04-12,87,False
2015-04-19,67,False
2015-04-26,74,False
2015-05-03,71,False
2015-05-10,74,False
2015-05-17,83,False
2015-05-24,70,False
2015-05-31,77,False
2015-06-07,86,False
2015-06-14,75,False
2015-06-21,69,False
2015-06-28,71,False
2015-07-05,73,False
2015-07-12,69,False
2015-07-19,59,False
2015-07-26,79,False
2015-08-02,62,False
2015-08-09,73,False
2015-08-16,71,False
2015-08-23,66,False
2015-08-30,76,False
2015-09-06,67,False
2015-09-13,72,False
2015-09-20,77,False
2015-09-27,91,False
2015-10-04,88,False
2015-10-11,84,False
2015-10-18,100,False
2015-10-25,97,False
2015-11-01,81,False
2015-11-08,79,False
2015-11-15,84,False
2015-11-22,70,False
2015-11-29,73,False
2015-12-06,67,False
2015-12-13,71,False
2015-12-20,72,False
2015-12-27,61,False
