date,morbid,isPartial
2013-01-06,74,False
2013-01-13,67,False
2013-01-20,62,False
2013-01-27,60,False
2013-02-03,70,False
2013-02-10,69,False
2013-02-17,82,False
2013-02-24,70,False
2013-03-03,74,False
2013-03-10,60,False
2013-03-17,64,False
2013-03-24,66,False
2013-03-31,63,False
2013-04-07,68,False
2013-04-14,83,False
2013-04-21,81,False
2013-04-28,72,False
2013-05-05,81,False
2013-05-12,71,False
2013-05-19,70,False
2013-05-26,71,False
2013-06-02,61,False
2013-06-09,68,False
2013-06-16,67,False
2013-06-23,73,False
2013-06-30,63,False
2013-07-07,63,False
2013-07-14,79,False
2013-07-21,66,False
2013-07-28,81,False
2013-08-04,78,False
2013-08-11,80,False
2013-08-18,68,False
2013-08-25,75,False
2013-09-01,73,False
2013-09-08,73,False
2013-09-15,74,False
2013-09-22,76,False
2013-09-29,69,False
2013-10-06,72,False
2013-10-13,88,False
2013-10-20,100,False
2013-10-27,93,False
2013-11-03,92,False
2013-11-10,84,False
2013-11-17,100,False
2013-11-24,82,False
2013-12-01,86,False
2013-12-08,77,False
2013-12-15,73,False
2013-12-22,74,False
2013-12-29,64,False
