geoName,unfulfilled
Alabama,81
Alaska,0
Arizona,66
Arkansas,0
California,47
Colorado,28
Connecticut,36
Delaware,0
District of Columbia,94
Florida,79
Georgia,41
Hawaii,99
Idaho,0
Illinois,62
Indiana,54
Iowa,50
Kansas,70
Kentucky,78
Louisiana,34
Maine,0
Maryland,54
Massachusetts,100
Michigan,46
Minnesota,40
Mississippi,0
Missouri,84
Montana,0
Nebraska,0
Nevada,41
New Hampshire,0
New Jersey,78
New Mexico,0
New York,56
North Carolina,73
North Dakota,0
Ohio,26
Oklahoma,35
Oregon,27
Pennsylvania,89
Rhode Island,0
South Carolina,49
South Dakota,0
Tennessee,56
Texas,66
Utah,71
Vermont,0
Virginia,69
Washington,69
West Virginia,0
Wisconsin,22
Wyoming,0
