geoName,unfulfilled
Alabama,100
Alaska,0
Arizona,59
Arkansas,0
California,39
Colorado,40
Connecticut,78
Delaware,0
District of Columbia,58
Florida,36
Georgia,29
Hawaii,88
Idaho,0
Illinois,18
Indiana,18
Iowa,17
Kansas,0
Kentucky,38
Louisiana,23
Maine,0
Maryland,72
Massachusetts,25
Michigan,36
Minnesota,12
Mississippi,0
Missouri,54
Montana,0
Nebraska,0
Nevada,47
New Hampshire,0
New Jersey,55
New Mexico,0
New York,34
North Carolina,35
North Dakota,0
Ohio,34
Oklahoma,53
Oregon,13
Pennsylvania,42
Rhode Island,0
South Carolina,93
South Dakota,0
Tennessee,37
Texas,30
Utah,44
Vermont,0
Virginia,43
Washington,49
West Virginia,0
Wisconsin,16
Wyoming,0
