geoName,unfulfilled
Alabama,0
Alaska,0
Arizona,70
Arkansas,0
California,55
Colorado,29
Connecticut,70
Delaware,0
District of Columbia,81
Florida,71
Georgia,44
Hawaii,64
Idaho,0
Illinois,65
Indiana,79
Iowa,0
Kansas,38
Kentucky,86
Louisiana,93
Maine,0
Maryland,58
Massachusetts,54
Michigan,49
Minnesota,64
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,40
New Hampshire,0
New Jersey,29
New Mexico,0
New York,74
North Carolina,75
North Dakota,0
Ohio,44
Oklahoma,36
Oregon,100
Pennsylvania,58
Rhode Island,0
South Carolina,55
South Dakota,0
Tennessee,56
Texas,42
Utah,70
Vermont,0
Virginia,51
Washington,73
West Virginia,0
Wisconsin,18
Wyoming,0
