geoName,unfulfilled
Alabama,30
Alaska,0
Arizona,39
Arkansas,0
California,46
Colorado,29
Connecticut,27
Delaware,0
District of Columbia,67
Florida,35
Georgia,32
Hawaii,53
Idaho,0
Illinois,23
Indiana,41
Iowa,17
Kansas,43
Kentucky,34
Louisiana,100
Maine,0
Maryland,66
Massachusetts,25
Michigan,23
Minnesota,37
Mississippi,0
Missouri,47
Montana,0
Nebraska,0
Nevada,75
New Hampshire,0
New Jersey,37
New Mexico,0
New York,34
North Carolina,75
North Dakota,0
Ohio,74
Oklahoma,24
Oregon,46
Pennsylvania,51
Rhode Island,0
South Carolina,67
South Dakota,0
Tennessee,38
Texas,46
Utah,63
Vermont,0
Virginia,36
Washington,43
West Virginia,0
Wisconsin,31
Wyoming,0
