geoName,unfulfilled
Alabama,36
Alaska,0
Arizona,38
Arkansas,0
California,75
Colorado,46
Connecticut,79
Delaware,0
District of Columbia,79
Florida,42
Georgia,75
Hawaii,100
Idaho,0
Illinois,50
Indiana,88
Iowa,27
Kansas,13
Kentucky,61
Louisiana,49
Maine,0
Maryland,45
Massachusetts,38
Michigan,69
Minnesota,74
Mississippi,0
Missouri,31
Montana,0
Nebraska,0
Nevada,47
New Hampshire,0
New Jersey,57
New Mexico,0
New York,60
North Carolina,46
North Dakota,0
Ohio,62
Oklahoma,48
Oregon,45
Pennsylvania,57
Rhode Island,0
South Carolina,17
South Dakota,0
Tennessee,60
Texas,63
Utah,71
Vermont,0
Virginia,75
Washington,57
West Virginia,0
Wisconsin,81
Wyoming,0
