geoName,unfulfilled
Alabama,0
Alaska,0
Arizona,100
Arkansas,0
California,43
Colorado,58
Connecticut,47
Delaware,0
District of Columbia,90
Florida,52
Georgia,44
Hawaii,89
Idaho,0
Illinois,37
Indiana,72
Iowa,28
Kansas,0
Kentucky,20
Louisiana,67
Maine,0
Maryland,60
Massachusetts,86
Michigan,50
Minnesota,28
Mississippi,0
Missouri,63
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,69
New Mexico,0
New York,50
North Carolina,58
North Dakota,0
Ohio,37
Oklahoma,27
Oregon,60
Pennsylvania,42
Rhode Island,0
South Carolina,59
South Dakota,0
Tennessee,38
Texas,31
Utah,0
Vermont,0
Virginia,60
Washington,56
West Virginia,0
Wisconsin,24
Wyoming,0
