date,evaluation,isPartial
2015-01-04,71,False
2015-01-11,86,False
2015-01-18,83,False
2015-01-25,89,False
2015-02-01,79,False
2015-02-08,89,False
2015-02-15,85,False
2015-02-22,85,False
2015-03-01,85,False
2015-03-08,89,False
2015-03-15,85,False
2015-03-22,84,False
2015-03-29,80,False
2015-04-05,89,False
2015-04-12,93,False
2015-04-19,94,False
2015-04-26,96,False
2015-05-03,94,False
2015-05-10,82,False
2015-05-17,77,False
2015-05-24,76,False
2015-05-31,81,False
2015-06-07,80,False
2015-06-14,77,False
2015-06-21,78,False
2015-06-28,69,False
2015-07-05,67,False
2015-07-12,78,False
2015-07-19,77,False
2015-07-26,74,False
2015-08-02,75,False
2015-08-09,72,False
2015-08-16,71,False
2015-08-23,81,False
2015-08-30,83,False
2015-09-06,79,False
2015-09-13,83,False
2015-09-20,85,False
2015-09-27,91,False
2015-10-04,94,False
2015-10-11,88,False
2015-10-18,92,False
2015-10-25,93,False
2015-11-01,97,False
2015-11-08,95,False
2015-11-15,93,False
2015-11-22,64,False
2015-11-29,100,False
2015-12-06,97,False
2015-12-13,80,False
2015-12-20,43,False
2015-12-27,42,False
