date,evaluation,isPartial
2011-01-02,80,False
2011-01-09,83,False
2011-01-16,88,False
2011-01-23,86,False
2011-01-30,93,False
2011-02-06,91,False
2011-02-13,96,False
2011-02-20,90,False
2011-02-27,94,False
2011-03-06,96,False
2011-03-13,91,False
2011-03-20,92,False
2011-03-27,99,False
2011-04-03,94,False
2011-04-10,95,False
2011-04-17,95,False
2011-04-24,99,False
2011-05-01,100,False
2011-05-08,96,False
2011-05-15,82,False
2011-05-22,85,False
2011-05-29,78,False
2011-06-05,84,False
2011-06-12,86,False
2011-06-19,85,False
2011-06-26,76,False
2011-07-03,70,False
2011-07-10,80,False
2011-07-17,81,False
2011-07-24,78,False
2011-07-31,75,False
2011-08-07,76,False
2011-08-14,73,False
2011-08-21,85,False
2011-08-28,75,False
2011-09-04,74,False
2011-09-11,89,False
2011-09-18,85,False
2011-09-25,83,False
2011-10-02,89,False
2011-10-09,94,False
2011-10-16,97,False
2011-10-23,90,False
2011-10-30,96,False
2011-11-06,93,False
2011-11-13,96,False
2011-11-20,68,False
2011-11-27,98,False
2011-12-04,97,False
2011-12-11,79,False
2011-12-18,58,False
2011-12-25,47,False
