date,evaluation,isPartial
2014-01-05,82,False
2014-01-12,87,False
2014-01-19,79,False
2014-01-26,90,False
2014-02-02,86,False
2014-02-09,86,False
2014-02-16,84,False
2014-02-23,100,False
2014-03-02,93,False
2014-03-09,85,False
2014-03-16,90,False
2014-03-23,84,False
2014-03-30,88,False
2014-04-06,96,False
2014-04-13,90,False
2014-04-20,98,False
2014-04-27,100,False
2014-05-04,91,False
2014-05-11,91,False
2014-05-18,86,False
2014-05-25,76,False
2014-06-01,82,False
2014-06-08,80,False
2014-06-15,82,False
2014-06-22,83,False
2014-06-29,65,False
2014-07-06,74,False
2014-07-13,80,False
2014-07-20,80,False
2014-07-27,80,False
2014-08-03,83,False
2014-08-10,79,False
2014-08-17,82,False
2014-08-24,82,False
2014-08-31,79,False
2014-09-07,88,False
2014-09-14,87,False
2014-09-21,89,False
2014-09-28,100,False
2014-10-05,92,False
2014-10-12,89,False
2014-10-19,95,False
2014-10-26,99,False
2014-11-02,98,False
2014-11-09,90,False
2014-11-16,97,False
2014-11-23,64,False
2014-11-30,98,False
2014-12-07,95,False
2014-12-14,80,False
2014-12-21,37,False
2014-12-28,44,False
