date,evaluation,isPartial
2012-01-01,67,False
2012-01-08,90,False
2012-01-15,83,False
2012-01-22,84,False
2012-01-29,94,False
2012-02-05,88,False
2012-02-12,89,False
2012-02-19,92,False
2012-02-26,94,False
2012-03-04,94,False
2012-03-11,88,False
2012-03-18,90,False
2012-03-25,87,False
2012-04-01,87,False
2012-04-08,89,False
2012-04-15,95,False
2012-04-22,100,False
2012-04-29,92,False
2012-05-06,86,False
2012-05-13,88,False
2012-05-20,81,False
2012-05-27,72,False
2012-06-03,83,False
2012-06-10,86,False
2012-06-17,80,False
2012-06-24,71,False
2012-07-01,58,False
2012-07-08,70,False
2012-07-15,73,False
2012-07-22,76,False
2012-07-29,78,False
2012-08-05,71,False
2012-08-12,71,False
2012-08-19,79,False
2012-08-26,76,False
2012-09-02,80,False
2012-09-09,96,False
2012-09-16,85,False
2012-09-23,94,False
2012-09-30,91,False
2012-10-07,95,False
2012-10-14,92,False
2012-10-21,89,False
2012-10-28,89,False
2012-11-04,85,False
2012-11-11,92,False
2012-11-18,66,False
2012-11-25,96,False
2012-12-02,98,False
2012-12-09,95,False
2012-12-16,69,False
2012-12-23,40,False
2012-12-30,55,False
