date,evaluation,isPartial
2013-01-06,76,False
2013-01-13,81,False
2013-01-20,79,False
2013-01-27,79,False
2013-02-03,90,False
2013-02-10,84,False
2013-02-17,87,False
2013-02-24,91,False
2013-03-03,83,False
2013-03-10,92,False
2013-03-17,89,False
2013-03-24,79,False
2013-03-31,89,False
2013-04-07,92,False
2013-04-14,86,False
2013-04-21,100,False
2013-04-28,90,False
2013-05-05,88,False
2013-05-12,80,False
2013-05-19,82,False
2013-05-26,73,False
2013-06-02,83,False
2013-06-09,82,False
2013-06-16,72,False
2013-06-23,72,False
2013-06-30,57,False
2013-07-07,72,False
2013-07-14,68,False
2013-07-21,72,False
2013-07-28,71,False
2013-08-04,69,False
2013-08-11,70,False
2013-08-18,72,False
2013-08-25,77,False
2013-09-01,74,False
2013-09-08,88,False
2013-09-15,87,False
2013-09-22,96,False
2013-09-29,85,False
2013-10-06,92,False
2013-10-13,95,False
2013-10-20,95,False
2013-10-27,94,False
2013-11-03,89,False
2013-11-10,91,False
2013-11-17,98,False
2013-11-24,65,False
2013-12-01,95,False
2013-12-08,92,False
2013-12-15,78,False
2013-12-22,36,False
2013-12-29,48,False
