date,evaluation,isPartial
2016-01-03,79,False
2016-01-10,85,False
2016-01-17,85,False
2016-01-24,88,False
2016-01-31,96,False
2016-02-07,86,False
2016-02-14,89,False
2016-02-21,99,False
2016-02-28,93,False
2016-03-06,96,False
2016-03-13,88,False
2016-03-20,89,False
2016-03-27,92,False
2016-04-03,98,False
2016-04-10,99,False
2016-04-17,100,False
2016-04-24,99,False
2016-05-01,94,False
2016-05-08,93,False
2016-05-15,82,False
2016-05-22,80,False
2016-05-29,69,False
2016-06-05,82,False
2016-06-12,74,False
2016-06-19,77,False
2016-06-26,80,False
2016-07-03,67,False
2016-07-10,73,False
2016-07-17,73,False
2016-07-24,72,False
2016-07-31,76,False
2016-08-07,71,False
2016-08-14,75,False
2016-08-21,72,False
2016-08-28,74,False
2016-09-04,77,False
2016-09-11,88,False
2016-09-18,88,False
2016-09-25,91,False
2016-10-02,90,False
2016-10-09,87,False
2016-10-16,94,False
2016-10-23,90,False
2016-10-30,96,False
2016-11-06,85,False
2016-11-13,94,False
2016-11-20,63,False
2016-11-27,96,False
2016-12-04,100,False
2016-12-11,82,False
2016-12-18,57,False
2016-12-25,43,False
