geoName,low sex drive
Alabama,88
Alaska,0
Arizona,56
Arkansas,100
California,55
Colorado,67
Connecticut,29
Delaware,0
District of Columbia,42
Florida,55
Georgia,66
Hawaii,0
Idaho,0
Illinois,59
Indiana,61
Iowa,67
Kansas,83
Kentucky,61
Louisiana,76
Maine,0
Maryland,51
Massachusetts,42
Michigan,56
Minnesota,42
Mississippi,90
Missouri,62
Montana,0
Nebraska,0
Nevada,59
New Hampshire,0
New Jersey,43
New Mexico,0
New York,55
North Carolina,51
North Dakota,0
Ohio,47
Oklahoma,90
Oregon,24
Pennsylvania,53
Rhode Island,0
South Carolina,80
South Dakota,0
Tennessee,62
Texas,61
Utah,54
Vermont,0
Virginia,44
Washington,57
West Virginia,0
Wisconsin,52
Wyoming,0
