geoName,low sex drive
Alabama,83
Alaska,0
Arizona,59
Arkansas,65
California,48
Colorado,52
Connecticut,61
Delaware,0
District of Columbia,36
Florida,61
Georgia,57
Hawaii,0
Idaho,0
Illinois,61
Indiana,68
Iowa,87
Kansas,92
Kentucky,88
Louisiana,74
Maine,0
Maryland,65
Massachusetts,41
Michigan,80
Minnesota,51
Mississippi,72
Missouri,57
Montana,0
Nebraska,0
Nevada,51
New Hampshire,0
New Jersey,48
New Mexico,0
New York,61
North Carolina,70
North Dakota,0
Ohio,70
Oklahoma,65
Oregon,40
Pennsylvania,73
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,75
Texas,63
Utah,64
Vermont,0
Virginia,68
Washington,57
West Virginia,0
Wisconsin,70
Wyoming,0
