geoName,low sex drive
Alabama,69
Alaska,0
Arizona,37
Arkansas,41
California,49
Colorado,60
Connecticut,50
Delaware,0
District of Columbia,61
Florida,55
Georgia,66
Hawaii,0
Idaho,0
Illinois,49
Indiana,71
Iowa,62
Kansas,56
Kentucky,57
Louisiana,88
Maine,0
Maryland,74
Massachusetts,62
Michigan,50
Minnesota,71
Mississippi,38
Missouri,69
Montana,0
Nebraska,0
Nevada,46
New Hampshire,0
New Jersey,33
New Mexico,0
New York,55
North Carolina,45
North Dakota,0
Ohio,56
Oklahoma,100
Oregon,32
Pennsylvania,69
Rhode Island,0
South Carolina,75
South Dakota,0
Tennessee,87
Texas,64
Utah,65
Vermont,0
Virginia,50
Washington,60
West Virginia,0
Wisconsin,58
Wyoming,0
