geoName,low sex drive
Alabama,51
Alaska,0
Arizona,54
Arkansas,100
California,51
Colorado,50
Connecticut,37
Delaware,0
District of Columbia,68
Florida,49
Georgia,76
Hawaii,0
Idaho,0
Illinois,66
Indiana,52
Iowa,29
Kansas,34
Kentucky,70
Louisiana,78
Maine,0
Maryland,33
Massachusetts,41
Michigan,85
Minnesota,40
Mississippi,70
Missouri,61
Montana,0
Nebraska,0
Nevada,61
New Hampshire,0
New Jersey,56
New Mexico,0
New York,55
North Carolina,64
North Dakota,0
Ohio,56
Oklahoma,74
Oregon,57
Pennsylvania,64
Rhode Island,0
South Carolina,55
South Dakota,0
Tennessee,72
Texas,67
Utah,48
Vermont,0
Virginia,50
Washington,54
West Virginia,0
Wisconsin,47
Wyoming,0
