geoName,low sex drive
Alabama,81
Alaska,0
Arizona,66
Arkansas,71
California,50
Colorado,64
Connecticut,75
Delaware,0
District of Columbia,79
Florida,68
Georgia,62
Hawaii,0
Idaho,0
Illinois,59
Indiana,82
Iowa,54
Kansas,38
Kentucky,61
Louisiana,92
Maine,0
Maryland,29
Massachusetts,42
Michigan,70
Minnesota,47
Mississippi,67
Missouri,50
Montana,0
Nebraska,0
Nevada,73
New Hampshire,0
New Jersey,58
New Mexico,0
New York,50
North Carolina,83
North Dakota,0
Ohio,71
Oklahoma,51
Oregon,47
Pennsylvania,40
Rhode Island,0
South Carolina,88
South Dakota,0
Tennessee,57
Texas,62
Utah,100
Vermont,0
Virginia,68
Washington,67
West Virginia,0
Wisconsin,51
Wyoming,0
