date,grieving,isPartial
2015-01-04,97,False
2015-01-11,92,False
2015-01-18,87,False
2015-01-25,86,False
2015-02-01,84,False
2015-02-08,70,False
2015-02-15,77,False
2015-02-22,85,False
2015-03-01,93,False
2015-03-08,87,False
2015-03-15,84,False
2015-03-22,82,False
2015-03-29,62,False
2015-04-05,89,False
2015-04-12,83,False
2015-04-19,92,False
2015-04-26,85,False
2015-05-03,94,False
2015-05-10,95,False
2015-05-17,77,False
2015-05-24,81,False
2015-05-31,77,False
2015-06-07,77,False
2015-06-14,88,False
2015-06-21,100,False
2015-06-28,86,False
2015-07-05,84,False
2015-07-12,84,False
2015-07-19,92,False
2015-07-26,69,False
2015-08-02,82,False
2015-08-09,75,False
2015-08-16,90,False
2015-08-23,88,False
2015-08-30,74,False
2015-09-06,96,False
2015-09-13,94,False
2015-09-20,87,False
2015-09-27,88,False
2015-10-04,79,False
2015-10-11,96,False
2015-10-18,84,False
2015-10-25,79,False
2015-11-01,83,False
2015-11-08,95,False
2015-11-15,89,False
2015-11-22,75,False
2015-11-29,88,False
2015-12-06,93,False
2015-12-13,83,False
2015-12-20,81,False
2015-12-27,80,False
