date,poor,isPartial
2013-01-06,74,False
2013-01-13,80,False
2013-01-20,82,False
2013-01-27,82,False
2013-02-03,87,False
2013-02-10,82,False
2013-02-17,84,False
2013-02-24,84,False
2013-03-03,89,False
2013-03-10,83,False
2013-03-17,82,False
2013-03-24,82,False
2013-03-31,81,False
2013-04-07,84,False
2013-04-14,79,False
2013-04-21,82,False
2013-04-28,84,False
2013-05-05,76,False
2013-05-12,78,False
2013-05-19,80,False
2013-05-26,73,False
2013-06-02,83,False
2013-06-09,77,False
2013-06-16,70,False
2013-06-23,75,False
2013-06-30,68,False
2013-07-07,72,False
2013-07-14,71,False
2013-07-21,72,False
2013-07-28,73,False
2013-08-04,70,False
2013-08-11,65,False
2013-08-18,68,False
2013-08-25,72,False
2013-09-01,82,False
2013-09-08,80,False
2013-09-15,85,False
2013-09-22,86,False
2013-09-29,86,False
2013-10-06,88,False
2013-10-13,93,False
2013-10-20,96,False
2013-10-27,88,False
2013-11-03,89,False
2013-11-10,92,False
2013-11-17,100,False
2013-11-24,79,False
2013-12-01,88,False
2013-12-08,98,False
2013-12-15,87,False
2013-12-22,67,False
2013-12-29,73,False
