date,poor,isPartial
2011-01-02,73,False
2011-01-09,77,False
2011-01-16,75,False
2011-01-23,79,False
2011-01-30,76,False
2011-02-06,74,False
2011-02-13,80,False
2011-02-20,82,False
2011-02-27,76,False
2011-03-06,85,False
2011-03-13,78,False
2011-03-20,78,False
2011-03-27,86,False
2011-04-03,80,False
2011-04-10,81,False
2011-04-17,84,False
2011-04-24,81,False
2011-05-01,78,False
2011-05-08,78,False
2011-05-15,75,False
2011-05-22,69,False
2011-05-29,73,False
2011-06-05,71,False
2011-06-12,70,False
2011-06-19,66,False
2011-06-26,69,False
2011-07-03,65,False
2011-07-10,69,False
2011-07-17,70,False
2011-07-24,74,False
2011-07-31,75,False
2011-08-07,79,False
2011-08-14,72,False
2011-08-21,69,False
2011-08-28,74,False
2011-09-04,75,False
2011-09-11,80,False
2011-09-18,78,False
2011-09-25,85,False
2011-10-02,88,False
2011-10-09,88,False
2011-10-16,85,False
2011-10-23,90,False
2011-10-30,93,False
2011-11-06,88,False
2011-11-13,93,False
2011-11-20,80,False
2011-11-27,91,False
2011-12-04,100,False
2011-12-11,94,False
2011-12-18,77,False
2011-12-25,67,False
