date,poor,isPartial
2015-01-04,73,False
2015-01-11,75,False
2015-01-18,75,False
2015-01-25,77,False
2015-02-01,81,False
2015-02-08,79,False
2015-02-15,78,False
2015-02-22,86,False
2015-03-01,81,False
2015-03-08,80,False
2015-03-15,80,False
2015-03-22,85,False
2015-03-29,78,False
2015-04-05,82,False
2015-04-12,83,False
2015-04-19,87,False
2015-04-26,84,False
2015-05-03,85,False
2015-05-10,78,False
2015-05-17,82,False
2015-05-24,75,False
2015-05-31,75,False
2015-06-07,72,False
2015-06-14,74,False
2015-06-21,68,False
2015-06-28,71,False
2015-07-05,71,False
2015-07-12,72,False
2015-07-19,69,False
2015-07-26,70,False
2015-08-02,71,False
2015-08-09,69,False
2015-08-16,70,False
2015-08-23,73,False
2015-08-30,77,False
2015-09-06,75,False
2015-09-13,82,False
2015-09-20,83,False
2015-09-27,84,False
2015-10-04,83,False
2015-10-11,85,False
2015-10-18,83,False
2015-10-25,85,False
2015-11-01,92,False
2015-11-08,84,False
2015-11-15,100,False
2015-11-22,74,False
2015-11-29,87,False
2015-12-06,88,False
2015-12-13,83,False
2015-12-20,69,False
2015-12-27,68,False
