date,poor,isPartial
2012-01-01,66,False
2012-01-08,76,False
2012-01-15,72,False
2012-01-22,77,False
2012-01-29,100,False
2012-02-05,78,False
2012-02-12,73,False
2012-02-19,70,False
2012-02-26,70,False
2012-03-04,71,False
2012-03-11,65,False
2012-03-18,69,False
2012-03-25,66,False
2012-04-01,67,False
2012-04-08,67,False
2012-04-15,72,False
2012-04-22,72,False
2012-04-29,70,False
2012-05-06,66,False
2012-05-13,66,False
2012-05-20,62,False
2012-05-27,60,False
2012-06-03,64,False
2012-06-10,59,False
2012-06-17,60,False
2012-06-24,61,False
2012-07-01,58,False
2012-07-08,63,False
2012-07-15,64,False
2012-07-22,63,False
2012-07-29,65,False
2012-08-05,63,False
2012-08-12,67,False
2012-08-19,67,False
2012-08-26,73,False
2012-09-02,77,False
2012-09-09,69,False
2012-09-16,81,False
2012-09-23,73,False
2012-09-30,78,False
2012-10-07,75,False
2012-10-14,73,False
2012-10-21,77,False
2012-10-28,68,False
2012-11-04,78,False
2012-11-11,76,False
2012-11-18,67,False
2012-11-25,77,False
2012-12-02,76,False
2012-12-09,71,False
2012-12-16,58,False
2012-12-23,55,False
2012-12-30,64,False
