date,crying,isPartial
2016-01-03,71,False
2016-01-10,60,False
2016-01-17,62,False
2016-01-24,73,False
2016-01-31,56,False
2016-02-07,70,False
2016-02-14,58,False
2016-02-21,59,False
2016-02-28,53,False
2016-03-06,55,False
2016-03-13,55,False
2016-03-20,60,False
2016-03-27,55,False
2016-04-03,73,False
2016-04-10,59,False
2016-04-17,67,False
2016-04-24,69,False
2016-05-01,62,False
2016-05-08,60,False
2016-05-15,60,False
2016-05-22,61,False
2016-05-29,65,False
2016-06-05,61,False
2016-06-12,64,False
2016-06-19,75,False
2016-06-26,56,False
2016-07-03,61,False
2016-07-10,55,False
2016-07-17,54,False
2016-07-24,57,False
2016-07-31,61,False
2016-08-07,58,False
2016-08-14,52,False
2016-08-21,52,False
2016-08-28,53,False
2016-09-04,55,False
2016-09-11,54,False
2016-09-18,55,False
2016-09-25,61,False
2016-10-02,56,False
2016-10-09,55,False
2016-10-16,54,False
2016-10-23,57,False
2016-10-30,59,False
2016-11-06,100,False
2016-11-13,78,False
2016-11-20,64,False
2016-11-27,60,False
2016-12-04,59,False
2016-12-11,56,False
2016-12-18,58,False
2016-12-25,53,False
