date,crying,isPartial
2015-01-04,76,False
2015-01-11,79,False
2015-01-18,82,False
2015-01-25,69,False
2015-02-01,79,False
2015-02-08,66,False
2015-02-15,68,False
2015-02-22,71,False
2015-03-01,68,False
2015-03-08,67,False
2015-03-15,65,False
2015-03-22,88,False
2015-03-29,68,False
2015-04-05,73,False
2015-04-12,67,False
2015-04-19,69,False
2015-04-26,68,False
2015-05-03,71,False
2015-05-10,74,False
2015-05-17,71,False
2015-05-24,69,False
2015-05-31,69,False
2015-06-07,72,False
2015-06-14,73,False
2015-06-21,72,False
2015-06-28,71,False
2015-07-05,69,False
2015-07-12,76,False
2015-07-19,76,False
2015-07-26,82,False
2015-08-02,74,False
2015-08-09,69,False
2015-08-16,78,False
2015-08-23,74,False
2015-08-30,100,False
2015-09-06,74,False
2015-09-13,69,False
2015-09-20,86,False
2015-09-27,73,False
2015-10-04,71,False
2015-10-11,70,False
2015-10-18,77,False
2015-10-25,73,False
2015-11-01,70,False
2015-11-08,73,False
2015-11-15,75,False
2015-11-22,78,False
2015-11-29,76,False
2015-12-06,79,False
2015-12-13,78,False
2015-12-20,78,False
2015-12-27,78,False
