date,esteem,isPartial
2012-01-01,85,False
2012-01-08,88,False
2012-01-15,81,False
2012-01-22,85,False
2012-01-29,93,False
2012-02-05,100,False
2012-02-12,97,False
2012-02-19,90,False
2012-02-26,91,False
2012-03-04,85,False
2012-03-11,85,False
2012-03-18,83,False
2012-03-25,77,False
2012-04-01,74,False
2012-04-08,75,False
2012-04-15,80,False
2012-04-22,81,False
2012-04-29,76,False
2012-05-06,78,False
2012-05-13,74,False
2012-05-20,81,False
2012-05-27,67,False
2012-06-03,70,False
2012-06-10,68,False
2012-06-17,69,False
2012-06-24,63,False
2012-07-01,66,False
2012-07-08,65,False
2012-07-15,62,False
2012-07-22,62,False
2012-07-29,54,False
2012-08-05,59,False
2012-08-12,63,False
2012-08-19,64,False
2012-08-26,61,False
2012-09-02,74,False
2012-09-09,73,False
2012-09-16,74,False
2012-09-23,76,False
2012-09-30,79,False
2012-10-07,66,False
2012-10-14,70,False
2012-10-21,64,False
2012-10-28,67,False
2012-11-04,67,False
2012-11-11,73,False
2012-11-18,58,False
2012-11-25,81,False
2012-12-02,77,False
2012-12-09,65,False
2012-12-16,49,False
2012-12-23,56,False
2012-12-30,58,False
