date,improvement,isPartial
2012-01-01,94,False
2012-01-08,100,False
2012-01-15,95,False
2012-01-22,93,False
2012-01-29,98,False
2012-02-05,98,False
2012-02-12,93,False
2012-02-19,100,False
2012-02-26,99,False
2012-03-04,99,False
2012-03-11,94,False
2012-03-18,96,False
2012-03-25,92,False
2012-04-01,89,False
2012-04-08,90,False
2012-04-15,97,False
2012-04-22,99,False
2012-04-29,89,False
2012-05-06,90,False
2012-05-13,87,False
2012-05-20,87,False
2012-05-27,83,False
2012-06-03,95,False
2012-06-10,90,False
2012-06-17,89,False
2012-06-24,91,False
2012-07-01,82,False
2012-07-08,88,False
2012-07-15,86,False
2012-07-22,87,False
2012-07-29,85,False
2012-08-05,82,False
2012-08-12,89,False
2012-08-19,80,False
2012-08-26,89,False
2012-09-02,87,False
2012-09-09,92,False
2012-09-16,91,False
2012-09-23,98,False
2012-09-30,84,False
2012-10-07,81,False
2012-10-14,86,False
2012-10-21,90,False
2012-10-28,82,False
2012-11-04,85,False
2012-11-11,87,False
2012-11-18,73,False
2012-11-25,84,False
2012-12-02,89,False
2012-12-09,80,False
2012-12-16,66,False
2012-12-23,56,False
2012-12-30,71,False
