date,diagnosis,isPartial
2013-01-06,71,False
2013-01-13,75,False
2013-01-20,82,False
2013-01-27,87,False
2013-02-03,85,False
2013-02-10,87,False
2013-02-17,93,False
2013-02-24,88,False
2013-03-03,86,False
2013-03-10,86,False
2013-03-17,90,False
2013-03-24,93,False
2013-03-31,97,False
2013-04-07,96,False
2013-04-14,92,False
2013-04-21,97,False
2013-04-28,89,False
2013-05-05,84,False
2013-05-12,83,False
2013-05-19,76,False
2013-05-26,74,False
2013-06-02,80,False
2013-06-09,79,False
2013-06-16,84,False
2013-06-23,80,False
2013-06-30,63,False
2013-07-07,79,False
2013-07-14,77,False
2013-07-21,80,False
2013-07-28,73,False
2013-08-04,78,False
2013-08-11,76,False
2013-08-18,77,False
2013-08-25,80,False
2013-09-01,73,False
2013-09-08,90,False
2013-09-15,91,False
2013-09-22,97,False
2013-09-29,93,False
2013-10-06,96,False
2013-10-13,91,False
2013-10-20,100,False
2013-10-27,93,False
2013-11-03,98,False
2013-11-10,99,False
2013-11-17,96,False
2013-11-24,72,False
2013-12-01,82,False
2013-12-08,80,False
2013-12-15,73,False
2013-12-22,45,False
2013-12-29,54,False
