date,diagnosis,isPartial
2011-01-02,77,False
2011-01-09,80,False
2011-01-16,77,False
2011-01-23,89,False
2011-01-30,88,False
2011-02-06,95,False
2011-02-13,100,False
2011-02-20,97,False
2011-02-27,96,False
2011-03-06,95,False
2011-03-13,85,False
2011-03-20,99,False
2011-03-27,99,False
2011-04-03,98,False
2011-04-10,96,False
2011-04-17,93,False
2011-04-24,90,False
2011-05-01,86,False
2011-05-08,84,False
2011-05-15,85,False
2011-05-22,80,False
2011-05-29,79,False
2011-06-05,82,False
2011-06-12,84,False
2011-06-19,80,False
2011-06-26,74,False
2011-07-03,70,False
2011-07-10,80,False
2011-07-17,75,False
2011-07-24,80,False
2011-07-31,79,False
2011-08-07,73,False
2011-08-14,75,False
2011-08-21,74,False
2011-08-28,84,False
2011-09-04,78,False
2011-09-11,90,False
2011-09-18,93,False
2011-09-25,85,False
2011-10-02,99,False
2011-10-09,92,False
2011-10-16,97,False
2011-10-23,94,False
2011-10-30,94,False
2011-11-06,98,False
2011-11-13,96,False
2011-11-20,72,False
2011-11-27,95,False
2011-12-04,90,False
2011-12-11,76,False
2011-12-18,63,False
2011-12-25,52,False
