date,diagnosis,isPartial
2012-01-01,69,False
2012-01-08,76,False
2012-01-15,85,False
2012-01-22,85,False
2012-01-29,91,False
2012-02-05,97,False
2012-02-12,91,False
2012-02-19,88,False
2012-02-26,92,False
2012-03-04,93,False
2012-03-11,92,False
2012-03-18,92,False
2012-03-25,98,False
2012-04-01,94,False
2012-04-08,93,False
2012-04-15,97,False
2012-04-22,94,False
2012-04-29,89,False
2012-05-06,84,False
2012-05-13,82,False
2012-05-20,80,False
2012-05-27,79,False
2012-06-03,82,False
2012-06-10,83,False
2012-06-17,88,False
2012-06-24,80,False
2012-07-01,73,False
2012-07-08,79,False
2012-07-15,85,False
2012-07-22,82,False
2012-07-29,77,False
2012-08-05,73,False
2012-08-12,80,False
2012-08-19,87,False
2012-08-26,78,False
2012-09-02,77,False
2012-09-09,96,False
2012-09-16,92,False
2012-09-23,98,False
2012-09-30,98,False
2012-10-07,94,False
2012-10-14,90,False
2012-10-21,92,False
2012-10-28,88,False
2012-11-04,92,False
2012-11-11,100,False
2012-11-18,72,False
2012-11-25,98,False
2012-12-02,100,False
2012-12-09,82,False
2012-12-16,65,False
2012-12-23,46,False
2012-12-30,59,False
