date,diagnosis,isPartial
2014-01-05,70,False
2014-01-12,78,False
2014-01-19,78,False
2014-01-26,86,False
2014-02-02,85,False
2014-02-09,85,False
2014-02-16,89,False
2014-02-23,95,False
2014-03-02,85,False
2014-03-09,85,False
2014-03-16,81,False
2014-03-23,87,False
2014-03-30,84,False
2014-04-06,90,False
2014-04-13,88,False
2014-04-20,86,False
2014-04-27,84,False
2014-05-04,78,False
2014-05-11,76,False
2014-05-18,76,False
2014-05-25,73,False
2014-06-01,72,False
2014-06-08,76,False
2014-06-15,77,False
2014-06-22,74,False
2014-06-29,69,False
2014-07-06,79,False
2014-07-13,74,False
2014-07-20,74,False
2014-07-27,75,False
2014-08-03,74,False
2014-08-10,76,False
2014-08-17,77,False
2014-08-24,72,False
2014-08-31,74,False
2014-09-07,84,False
2014-09-14,91,False
2014-09-21,96,False
2014-09-28,93,False
2014-10-05,98,False
2014-10-12,91,False
2014-10-19,98,False
2014-10-26,96,False
2014-11-02,97,False
2014-11-09,100,False
2014-11-16,92,False
2014-11-23,68,False
2014-11-30,86,False
2014-12-07,77,False
2014-12-14,70,False
2014-12-21,48,False
2014-12-28,52,False
