date,diagnosis,isPartial
2015-01-04,66,False
2015-01-11,73,False
2015-01-18,74,False
2015-01-25,81,False
2015-02-01,78,False
2015-02-08,81,False
2015-02-15,86,False
2015-02-22,82,False
2015-03-01,86,False
2015-03-08,87,False
2015-03-15,87,False
2015-03-22,84,False
2015-03-29,83,False
2015-04-05,83,False
2015-04-12,89,False
2015-04-19,90,False
2015-04-26,82,False
2015-05-03,81,False
2015-05-10,77,False
2015-05-17,73,False
2015-05-24,74,False
2015-05-31,77,False
2015-06-07,81,False
2015-06-14,75,False
2015-06-21,79,False
2015-06-28,71,False
2015-07-05,75,False
2015-07-12,76,False
2015-07-19,80,False
2015-07-26,73,False
2015-08-02,72,False
2015-08-09,73,False
2015-08-16,75,False
2015-08-23,82,False
2015-08-30,80,False
2015-09-06,80,False
2015-09-13,90,False
2015-09-20,95,False
2015-09-27,95,False
2015-10-04,100,False
2015-10-11,90,False
2015-10-18,89,False
2015-10-25,88,False
2015-11-01,86,False
2015-11-08,88,False
2015-11-15,91,False
2015-11-22,60,False
2015-11-29,78,False
2015-12-06,71,False
2015-12-13,63,False
2015-12-20,49,False
2015-12-27,48,False
