date,diagnosis,isPartial
2016-01-03,75,False
2016-01-10,73,False
2016-01-17,81,False
2016-01-24,93,False
2016-01-31,91,False
2016-02-07,97,False
2016-02-14,95,False
2016-02-21,95,False
2016-02-28,97,False
2016-03-06,91,False
2016-03-13,91,False
2016-03-20,88,False
2016-03-27,91,False
2016-04-03,100,False
2016-04-10,99,False
2016-04-17,99,False
2016-04-24,91,False
2016-05-01,81,False
2016-05-08,78,False
2016-05-15,81,False
2016-05-22,79,False
2016-05-29,73,False
2016-06-05,85,False
2016-06-12,75,False
2016-06-19,76,False
2016-06-26,74,False
2016-07-03,67,False
2016-07-10,74,False
2016-07-17,77,False
2016-07-24,72,False
2016-07-31,71,False
2016-08-07,73,False
2016-08-14,66,False
2016-08-21,75,False
2016-08-28,84,False
2016-09-04,80,False
2016-09-11,92,False
2016-09-18,88,False
2016-09-25,92,False
2016-10-02,92,False
2016-10-09,92,False
2016-10-16,96,False
2016-10-23,95,False
2016-10-30,98,False
2016-11-06,88,False
2016-11-13,95,False
2016-11-20,72,False
2016-11-27,86,False
2016-12-04,85,False
2016-12-11,72,False
2016-12-18,59,False
2016-12-25,51,False
