date,fatigue,isPartial
2011-01-02,78,False
2011-01-09,65,False
2011-01-16,76,False
2011-01-23,77,False
2011-01-30,67,False
2011-02-06,80,False
2011-02-13,81,False
2011-02-20,92,False
2011-02-27,85,False
2011-03-06,90,False
2011-03-13,80,False
2011-03-20,86,False
2011-03-27,83,False
2011-04-03,98,False
2011-04-10,92,False
2011-04-17,92,False
2011-04-24,85,False
2011-05-01,86,False
2011-05-08,90,False
2011-05-15,89,False
2011-05-22,85,False
2011-05-29,85,False
2011-06-05,87,False
2011-06-12,88,False
2011-06-19,100,False
2011-06-26,83,False
2011-07-03,85,False
2011-07-10,88,False
2011-07-17,87,False
2011-07-24,80,False
2011-07-31,83,False
2011-08-07,85,False
2011-08-14,86,False
2011-08-21,84,False
2011-08-28,84,False
2011-09-04,84,False
2011-09-11,89,False
2011-09-18,89,False
2011-09-25,85,False
2011-10-02,82,False
2011-10-09,91,False
2011-10-16,89,False
2011-10-23,84,False
2011-10-30,83,False
2011-11-06,84,False
2011-11-13,87,False
2011-11-20,62,False
2011-11-27,81,False
2011-12-04,73,False
2011-12-11,79,False
2011-12-18,72,False
2011-12-25,69,False
