date,fatigue,isPartial
2015-01-04,79,False
2015-01-11,82,False
2015-01-18,90,False
2015-01-25,80,False
2015-02-01,81,False
2015-02-08,100,False
2015-02-15,85,False
2015-02-22,85,False
2015-03-01,90,False
2015-03-08,97,False
2015-03-15,94,False
2015-03-22,96,False
2015-03-29,88,False
2015-04-05,91,False
2015-04-12,98,False
2015-04-19,97,False
2015-04-26,96,False
2015-05-03,96,False
2015-05-10,87,False
2015-05-17,87,False
2015-05-24,89,False
2015-05-31,96,False
2015-06-07,95,False
2015-06-14,86,False
2015-06-21,92,False
2015-06-28,88,False
2015-07-05,96,False
2015-07-12,95,False
2015-07-19,92,False
2015-07-26,93,False
2015-08-02,93,False
2015-08-09,89,False
2015-08-16,91,False
2015-08-23,91,False
2015-08-30,83,False
2015-09-06,86,False
2015-09-13,85,False
2015-09-20,92,False
2015-09-27,90,False
2015-10-04,95,False
2015-10-11,90,False
2015-10-18,95,False
2015-10-25,89,False
2015-11-01,92,False
2015-11-08,90,False
2015-11-15,94,False
2015-11-22,68,False
2015-11-29,81,False
2015-12-06,87,False
2015-12-13,73,False
2015-12-20,69,False
2015-12-27,78,False
