date,fatigue,isPartial
2014-01-05,75,False
2014-01-12,82,False
2014-01-19,75,False
2014-01-26,80,False
2014-02-02,74,False
2014-02-09,79,False
2014-02-16,85,False
2014-02-23,86,False
2014-03-02,83,False
2014-03-09,91,False
2014-03-16,84,False
2014-03-23,85,False
2014-03-30,88,False
2014-04-06,90,False
2014-04-13,92,False
2014-04-20,99,False
2014-04-27,92,False
2014-05-04,95,False
2014-05-11,93,False
2014-05-18,89,False
2014-05-25,90,False
2014-06-01,90,False
2014-06-08,83,False
2014-06-15,95,False
2014-06-22,96,False
2014-06-29,88,False
2014-07-06,94,False
2014-07-13,96,False
2014-07-20,92,False
2014-07-27,91,False
2014-08-03,85,False
2014-08-10,84,False
2014-08-17,84,False
2014-08-24,86,False
2014-08-31,88,False
2014-09-07,85,False
2014-09-14,84,False
2014-09-21,91,False
2014-09-28,94,False
2014-10-05,86,False
2014-10-12,83,False
2014-10-19,94,False
2014-10-26,100,False
2014-11-02,86,False
2014-11-09,92,False
2014-11-16,84,False
2014-11-23,74,False
2014-11-30,84,False
2014-12-07,81,False
2014-12-14,83,False
2014-12-21,67,False
2014-12-28,76,False
