date,fatigue,isPartial
2016-01-03,86,False
2016-01-10,81,False
2016-01-17,82,False
2016-01-24,84,False
2016-01-31,95,False
2016-02-07,94,False
2016-02-14,98,False
2016-02-21,99,False
2016-02-28,98,False
2016-03-06,99,False
2016-03-13,93,False
2016-03-20,89,False
2016-03-27,100,False
2016-04-03,99,False
2016-04-10,97,False
2016-04-17,94,False
2016-04-24,95,False
2016-05-01,93,False
2016-05-08,98,False
2016-05-15,97,False
2016-05-22,96,False
2016-05-29,85,False
2016-06-05,94,False
2016-06-12,85,False
2016-06-19,93,False
2016-06-26,91,False
2016-07-03,87,False
2016-07-10,87,False
2016-07-17,90,False
2016-07-24,85,False
2016-07-31,87,False
2016-08-07,88,False
2016-08-14,87,False
2016-08-21,93,False
2016-08-28,92,False
2016-09-04,100,False
2016-09-11,91,False
2016-09-18,93,False
2016-09-25,95,False
2016-10-02,90,False
2016-10-09,87,False
2016-10-16,95,False
2016-10-23,94,False
2016-10-30,90,False
2016-11-06,79,False
2016-11-13,85,False
2016-11-20,72,False
2016-11-27,89,False
2016-12-04,84,False
2016-12-11,83,False
2016-12-18,75,False
2016-12-25,79,False
