date,fatigue,isPartial
2013-01-06,79,False
2013-01-13,73,False
2013-01-20,80,False
2013-01-27,82,False
2013-02-03,87,False
2013-02-10,79,False
2013-02-17,90,False
2013-02-24,86,False
2013-03-03,90,False
2013-03-10,87,False
2013-03-17,96,False
2013-03-24,87,False
2013-03-31,95,False
2013-04-07,100,False
2013-04-14,91,False
2013-04-21,93,False
2013-04-28,91,False
2013-05-05,89,False
2013-05-12,90,False
2013-05-19,93,False
2013-05-26,92,False
2013-06-02,93,False
2013-06-09,92,False
2013-06-16,88,False
2013-06-23,89,False
2013-06-30,87,False
2013-07-07,91,False
2013-07-14,89,False
2013-07-21,92,False
2013-07-28,98,False
2013-08-04,91,False
2013-08-11,88,False
2013-08-18,90,False
2013-08-25,86,False
2013-09-01,91,False
2013-09-08,84,False
2013-09-15,85,False
2013-09-22,94,False
2013-09-29,84,False
2013-10-06,91,False
2013-10-13,88,False
2013-10-20,90,False
2013-10-27,87,False
2013-11-03,88,False
2013-11-10,84,False
2013-11-17,90,False
2013-11-24,64,False
2013-12-01,73,False
2013-12-08,76,False
2013-12-15,75,False
2013-12-22,66,False
2013-12-29,65,False
