date,irrational,isPartial
2012-01-01,42,False
2012-01-08,48,False
2012-01-15,54,False
2012-01-22,68,False
2012-01-29,54,False
2012-02-05,58,False
2012-02-12,38,False
2012-02-19,53,False
2012-02-26,56,False
2012-03-04,50,False
2012-03-11,55,False
2012-03-18,46,False
2012-03-25,43,False
2012-04-01,43,False
2012-04-08,57,False
2012-04-15,44,False
2012-04-22,48,False
2012-04-29,51,False
2012-05-06,46,False
2012-05-13,41,False
2012-05-20,37,False
2012-05-27,34,False
2012-06-03,42,False
2012-06-10,33,False
2012-06-17,33,False
2012-06-24,31,False
2012-07-01,26,False
2012-07-08,33,False
2012-07-15,30,False
2012-07-22,27,False
2012-07-29,25,False
2012-08-05,31,False
2012-08-12,46,False
2012-08-19,70,False
2012-08-26,93,False
2012-09-02,94,False
2012-09-09,100,False
2012-09-16,85,False
2012-09-23,75,False
2012-09-30,70,False
2012-10-07,61,False
2012-10-14,63,False
2012-10-21,57,False
2012-10-28,46,False
2012-11-04,53,False
2012-11-11,51,False
2012-11-18,32,False
2012-11-25,50,False
2012-12-02,58,False
2012-12-09,54,False
2012-12-16,43,False
2012-12-23,23,False
2012-12-30,27,False
