date,detriment,isPartial
2016-01-03,63,False
2016-01-10,67,False
2016-01-17,77,False
2016-01-24,60,False
2016-01-31,100,False
2016-02-07,57,False
2016-02-14,83,False
2016-02-21,87,False
2016-02-28,82,False
2016-03-06,78,False
2016-03-13,86,False
2016-03-20,66,False
2016-03-27,64,False
2016-04-03,59,False
2016-04-10,84,False
2016-04-17,78,False
2016-04-24,75,False
2016-05-01,77,False
2016-05-08,77,False
2016-05-15,71,False
2016-05-22,49,False
2016-05-29,52,False
2016-06-05,57,False
2016-06-12,59,False
2016-06-19,33,False
2016-06-26,44,False
2016-07-03,40,False
2016-07-10,41,False
2016-07-17,41,False
2016-07-24,48,False
2016-07-31,33,False
2016-08-07,33,False
2016-08-14,37,False
2016-08-21,62,False
2016-08-28,69,False
2016-09-04,88,False
2016-09-11,81,False
2016-09-18,74,False
2016-09-25,63,False
2016-10-02,66,False
2016-10-09,74,False
2016-10-16,84,False
2016-10-23,75,False
2016-10-30,87,False
2016-11-06,79,False
2016-11-13,77,False
2016-11-20,74,False
2016-11-27,79,False
2016-12-04,66,False
2016-12-11,68,False
2016-12-18,42,False
2016-12-25,34,False
