date,detriment,isPartial
2015-01-04,62,False
2015-01-11,44,False
2015-01-18,58,False
2015-01-25,56,False
2015-02-01,65,False
2015-02-08,63,False
2015-02-15,57,False
2015-02-22,66,False
2015-03-01,78,False
2015-03-08,79,False
2015-03-15,52,False
2015-03-22,77,False
2015-03-29,63,False
2015-04-05,74,False
2015-04-12,63,False
2015-04-19,51,False
2015-04-26,75,False
2015-05-03,75,False
2015-05-10,60,False
2015-05-17,70,False
2015-05-24,64,False
2015-05-31,69,False
2015-06-07,49,False
2015-06-14,35,False
2015-06-21,53,False
2015-06-28,55,False
2015-07-05,49,False
2015-07-12,44,False
2015-07-19,63,False
2015-07-26,41,False
2015-08-02,32,False
2015-08-09,50,False
2015-08-16,38,False
2015-08-23,92,False
2015-08-30,85,False
2015-09-06,75,False
2015-09-13,94,False
2015-09-20,84,False
2015-09-27,63,False
2015-10-04,92,False
2015-10-11,93,False
2015-10-18,80,False
2015-10-25,79,False
2015-11-01,100,False
2015-11-08,92,False
2015-11-15,90,False
2015-11-22,38,False
2015-11-29,70,False
2015-12-06,93,False
2015-12-13,83,False
2015-12-20,22,False
2015-12-27,27,False
