date,sympathetic,isPartial
2011-01-02,45,False
2011-01-09,54,False
2011-01-16,71,False
2011-01-23,70,False
2011-01-30,73,False
2011-02-06,82,False
2011-02-13,93,False
2011-02-20,89,False
2011-02-27,77,False
2011-03-06,75,False
2011-03-13,70,False
2011-03-20,92,False
2011-03-27,71,False
2011-04-03,81,False
2011-04-10,80,False
2011-04-17,98,False
2011-04-24,95,False
2011-05-01,99,False
2011-05-08,67,False
2011-05-15,80,False
2011-05-22,57,False
2011-05-29,60,False
2011-06-05,55,False
2011-06-12,42,False
2011-06-19,51,False
2011-06-26,48,False
2011-07-03,46,False
2011-07-10,64,False
2011-07-17,63,False
2011-07-24,50,False
2011-07-31,44,False
2011-08-07,48,False
2011-08-14,43,False
2011-08-21,59,False
2011-08-28,63,False
2011-09-04,73,False
2011-09-11,85,False
2011-09-18,90,False
2011-09-25,86,False
2011-10-02,90,False
2011-10-09,84,False
2011-10-16,86,False
2011-10-23,81,False
2011-10-30,84,False
2011-11-06,82,False
2011-11-13,99,False
2011-11-20,70,False
2011-11-27,95,False
2011-12-04,100,False
2011-12-11,79,False
2011-12-18,45,False
2011-12-25,33,False
