date,sympathetic,isPartial
2012-01-01,45,False
2012-01-08,52,False
2012-01-15,61,False
2012-01-22,67,False
2012-01-29,80,False
2012-02-05,93,False
2012-02-12,82,False
2012-02-19,81,False
2012-02-26,70,False
2012-03-04,68,False
2012-03-11,65,False
2012-03-18,65,False
2012-03-25,65,False
2012-04-01,67,False
2012-04-08,78,False
2012-04-15,75,False
2012-04-22,89,False
2012-04-29,83,False
2012-05-06,70,False
2012-05-13,59,False
2012-05-20,58,False
2012-05-27,48,False
2012-06-03,46,False
2012-06-10,56,False
2012-06-17,51,False
2012-06-24,51,False
2012-07-01,44,False
2012-07-08,54,False
2012-07-15,57,False
2012-07-22,42,False
2012-07-29,54,False
2012-08-05,44,False
2012-08-12,42,False
2012-08-19,44,False
2012-08-26,59,False
2012-09-02,67,False
2012-09-09,85,False
2012-09-16,78,False
2012-09-23,79,False
2012-09-30,92,False
2012-10-07,87,False
2012-10-14,80,False
2012-10-21,77,False
2012-10-28,81,False
2012-11-04,71,False
2012-11-11,100,False
2012-11-18,54,False
2012-11-25,89,False
2012-12-02,92,False
2012-12-09,84,False
2012-12-16,51,False
2012-12-23,26,False
2012-12-30,34,False
