date,struggle,isPartial
2016-01-03,69,False
2016-01-10,77,False
2016-01-17,74,False
2016-01-24,100,False
2016-01-31,78,False
2016-02-07,81,False
2016-02-14,80,False
2016-02-21,86,False
2016-02-28,82,False
2016-03-06,81,False
2016-03-13,81,False
2016-03-20,78,False
2016-03-27,78,False
2016-04-03,80,False
2016-04-10,90,False
2016-04-17,82,False
2016-04-24,82,False
2016-05-01,86,False
2016-05-08,75,False
2016-05-15,76,False
2016-05-22,68,False
2016-05-29,62,False
2016-06-05,66,False
2016-06-12,58,False
2016-06-19,58,False
2016-06-26,57,False
2016-07-03,51,False
2016-07-10,58,False
2016-07-17,50,False
2016-07-24,50,False
2016-07-31,52,False
2016-08-07,47,False
2016-08-14,51,False
2016-08-21,60,False
2016-08-28,68,False
2016-09-04,69,False
2016-09-11,72,False
2016-09-18,79,False
2016-09-25,74,False
2016-10-02,68,False
2016-10-09,76,False
2016-10-16,74,False
2016-10-23,73,False
2016-10-30,74,False
2016-11-06,67,False
2016-11-13,78,False
2016-11-20,61,False
2016-11-27,82,False
2016-12-04,85,False
2016-12-11,81,False
2016-12-18,57,False
2016-12-25,46,False
