date,struggle,isPartial
2013-01-06,61,False
2013-01-13,65,False
2013-01-20,70,False
2013-01-27,73,False
2013-02-03,69,False
2013-02-10,70,False
2013-02-17,74,False
2013-02-24,77,False
2013-03-03,79,False
2013-03-10,76,False
2013-03-17,88,False
2013-03-24,83,False
2013-03-31,79,False
2013-04-07,93,False
2013-04-14,87,False
2013-04-21,97,False
2013-04-28,96,False
2013-05-05,85,False
2013-05-12,89,False
2013-05-19,80,False
2013-05-26,74,False
2013-06-02,74,False
2013-06-09,76,False
2013-06-16,63,False
2013-06-23,68,False
2013-06-30,66,False
2013-07-07,59,False
2013-07-14,59,False
2013-07-21,59,False
2013-07-28,67,False
2013-08-04,59,False
2013-08-11,62,False
2013-08-18,65,False
2013-08-25,71,False
2013-09-01,88,False
2013-09-08,94,False
2013-09-15,83,False
2013-09-22,85,False
2013-09-29,92,False
2013-10-06,91,False
2013-10-13,88,False
2013-10-20,89,False
2013-10-27,86,False
2013-11-03,87,False
2013-11-10,91,False
2013-11-17,88,False
2013-11-24,75,False
2013-12-01,88,False
2013-12-08,100,False
2013-12-15,86,False
2013-12-22,63,False
2013-12-29,57,False
