date,struggle,isPartial
2014-01-05,69,False
2014-01-12,83,False
2014-01-19,88,False
2014-01-26,91,False
2014-02-02,78,False
2014-02-09,83,False
2014-02-16,93,False
2014-02-23,91,False
2014-03-02,86,False
2014-03-09,86,False
2014-03-16,85,False
2014-03-23,90,False
2014-03-30,81,False
2014-04-06,88,False
2014-04-13,93,False
2014-04-20,79,False
2014-04-27,97,False
2014-05-04,91,False
2014-05-11,85,False
2014-05-18,86,False
2014-05-25,73,False
2014-06-01,76,False
2014-06-08,74,False
2014-06-15,68,False
2014-06-22,67,False
2014-06-29,70,False
2014-07-06,69,False
2014-07-13,72,False
2014-07-20,66,False
2014-07-27,66,False
2014-08-03,61,False
2014-08-10,65,False
2014-08-17,77,False
2014-08-24,78,False
2014-08-31,81,False
2014-09-07,84,False
2014-09-14,77,False
2014-09-21,100,False
2014-09-28,90,False
2014-10-05,85,False
2014-10-12,81,False
2014-10-19,94,False
2014-10-26,84,False
2014-11-02,87,False
2014-11-09,88,False
2014-11-16,88,False
2014-11-23,81,False
2014-11-30,92,False
2014-12-07,100,False
2014-12-14,84,False
2014-12-21,60,False
2014-12-28,66,False
