date,struggle,isPartial
2011-01-02,84,False
2011-01-09,88,False
2011-01-16,89,False
2011-01-23,88,False
2011-01-30,94,False
2011-02-06,98,False
2011-02-13,82,False
2011-02-20,93,False
2011-02-27,93,False
2011-03-06,94,False
2011-03-13,79,False
2011-03-20,86,False
2011-03-27,87,False
2011-04-03,99,False
2011-04-10,88,False
2011-04-17,90,False
2011-04-24,91,False
2011-05-01,97,False
2011-05-08,91,False
2011-05-15,100,False
2011-05-22,98,False
2011-05-29,86,False
2011-06-05,72,False
2011-06-12,74,False
2011-06-19,61,False
2011-06-26,58,False
2011-07-03,47,False
2011-07-10,61,False
2011-07-17,58,False
2011-07-24,54,False
2011-07-31,55,False
2011-08-07,48,False
2011-08-14,58,False
2011-08-21,57,False
2011-08-28,73,False
2011-09-04,67,False
2011-09-11,71,False
2011-09-18,73,False
2011-09-25,79,False
2011-10-02,77,False
2011-10-09,81,False
2011-10-16,85,False
2011-10-23,89,False
2011-10-30,76,False
2011-11-06,87,False
2011-11-13,99,False
2011-11-20,66,False
2011-11-27,89,False
2011-12-04,85,False
2011-12-11,96,False
2011-12-18,66,False
2011-12-25,53,False
