date,struggle,isPartial
2015-01-04,78,False
2015-01-11,78,False
2015-01-18,82,False
2015-01-25,86,False
2015-02-01,81,False
2015-02-08,79,False
2015-02-15,81,False
2015-02-22,87,False
2015-03-01,79,False
2015-03-08,82,False
2015-03-15,82,False
2015-03-22,74,False
2015-03-29,78,False
2015-04-05,79,False
2015-04-12,83,False
2015-04-19,100,False
2015-04-26,86,False
2015-05-03,92,False
2015-05-10,86,False
2015-05-17,78,False
2015-05-24,63,False
2015-05-31,78,False
2015-06-07,69,False
2015-06-14,62,False
2015-06-21,60,False
2015-06-28,56,False
2015-07-05,58,False
2015-07-12,58,False
2015-07-19,65,False
2015-07-26,60,False
2015-08-02,64,False
2015-08-09,69,False
2015-08-16,71,False
2015-08-23,69,False
2015-08-30,78,False
2015-09-06,76,False
2015-09-13,84,False
2015-09-20,80,False
2015-09-27,85,False
2015-10-04,91,False
2015-10-11,76,False
2015-10-18,80,False
2015-10-25,84,False
2015-11-01,86,False
2015-11-08,85,False
2015-11-15,94,False
2015-11-22,69,False
2015-11-29,90,False
2015-12-06,97,False
2015-12-13,94,False
2015-12-20,56,False
2015-12-27,51,False
